STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,YEAR_RANGE,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Jharkhand,Latehar,PMGSY-II,2013-2018,7,0,7,0,0,0,48.4,34.75844,48.4,32.646,0
Jharkhand,Pakur,PM-JANMAN,2023-Present,45,0,0,0,45,0,111.428,109.21174,0,0,111.428
Jharkhand,Palamu,PM-JANMAN,2023-Present,31,0,0,0,31,0,146.422,117.226,2.5,0,143.922
Jharkhand,Pashchimi Singhbhum,RCPLWEA,2016-Present,31,22,24,16,7,6,302.715,305.34461,253.895,262.2133,47.129
Karnataka,Bangalore R,PMGSY-I,2000-2013,114,0,114,0,0,0,591.9,106.2548,591.9,109.9389,0
Karnataka,Bangalore R,PMGSY-III,2019-Present,16,0,16,0,0,0,105.25,63.27428,101.89,58.5513,0
Karnataka,Bangalore U,PMGSY-II,2013-2018,10,0,10,0,0,0,54.67,18.7393,52.416,17.9575,0
Karnataka,Bidar,PMGSY-I,2000-2013,97,0,97,0,0,0,507.76,102.6897,507.76,118.0037,0
Karnataka,Bidar,PMGSY-II,2013-2018,10,0,10,0,0,0,70.02,34.0262,69.48,33.7712,0
Karnataka,Gadag,PMGSY-II,2013-2018,12,0,12,0,0,0,89.75,41.844,76.655,39.6803,0
Karnataka,Gulbarga,PMGSY-I,2000-2013,87,7,87,7,0,0,746.158,146.7877,746.158,157.4206,0
Karnataka,Hassan,PMGSY-I,2000-2013,199,0,199,0,0,0,628.11,129.815,628.46,145.1988,0
Karnataka,Hassan,PMGSY-III,2019-Present,43,2,42,2,1,0,222.345,160.76095,218.376,156.0482,2.17
Karnataka,Haveri,PMGSY-II,2013-2018,12,0,12,0,0,0,70,30.4975,69.035,29.6601,0
Karnataka,Haveri,PMGSY-III,2019-Present,26,4,22,3,4,1,213.83,149.84251,193.614,121.5962,13.81
Karnataka,Koppal,PMGSY-III,2019-Present,19,1,18,1,1,0,138.626,82.32219,133.59,84.6929,1.25
Karnataka,Mandya,PMGSY-III,2019-Present,32,0,32,0,0,0,189.635,118.2531,185.326,107.7021,0
Karnataka,Mysore,PMGSY-II,2013-2018,16,0,16,0,0,0,100.12,48.3633,117.13,48.7997,0
Karnataka,Raichur,PMGSY-I,2000-2013,138,4,138,4,0,0,763.582,148.9996,763.582,159.5051,0
Karnataka,Raichur,PMGSY-II,2013-2018,7,0,7,0,0,0,68.07,33.3638,66.22,31.0503,0
Karnataka,Shimoga,PMGSY-II,2013-2018,13,1,13,1,0,0,100.89,48.1741,97.695,43.6212,0
Karnataka,Tumkur,PMGSY-III,2019-Present,51,5,47,5,4,0,300.526,190.41821,294.636,179.6345,5.43
Kerala,Idukki,PMGSY-III,2019-Present,24,3,6,0,18,3,138.162,122.42605,63.986,52.05,74.027
Kerala,Palakkad,PMGSY-I,2000-2013,85,0,84,0,1,0,277.88,163.3612,267.416,171.2763,3.77
Kerala,Thrissur,PMGSY-II,2013-2018,11,0,11,0,0,0,35.671,22.2808,34.788,16.919,0
Ladakh,Kargil,PMGSY-I,2000-2013,88,2,83,2,5,0,624.385,488.9227,594.99,442.2754,13.5
Ladakh,Kargil,PMGSY-III,2019-Present,27,0,2,0,25,0,209.43,228.9736,12.7,0,196.23
Ladakh,Leh,PMGSY-III,2019-Present,28,0,0,0,28,0,246.195,244.06395,14.47,49.4104,231.725
Madhya Pradesh,Agar,PMGSY-II,2013-2018,4,6,4,6,0,0,78.47,55.9781,77.614,50.1109,0
Madhya Pradesh,Alirajpur,PMGSY-III,2019-Present,21,20,21,12,0,8,205.02,189.05843,200.374,131.0175,0
Madhya Pradesh,Anuppur,PMGSY-III,2019-Present,15,1,14,1,1,0,156.181,99.98494,155.106,75.9096,0
Madhya Pradesh,Balaghat,PM-JANMAN,2023-Present,52,0,9,0,43,0,121.45,91.67759,25.311,0,95.92
Madhya Pradesh,Betul,PMGSY-I,2000-2013,660,38,660,38,0,0,2682.815,922.72559,2551.232,944.487,0
Madhya Pradesh,Betul,PMGSY-III,2019-Present,35,26,26,10,9,16,378.413,351.13862,361.647,235.9073,8.678
Madhya Pradesh,Bhind,PMGSY-I,2000-2013,425,1,425,1,0,0,1392.868,399.4797,1364.16,354.1227,0
Madhya Pradesh,Bhind,PMGSY-II,2013-2018,5,0,5,0,0,0,66.78,51.2411,66.528,53.8182,0
Madhya Pradesh,Damoh,PMGSY-III,2019-Present,19,19,19,15,0,4,283.775,229.04376,275.94,184.2893,0
Madhya Pradesh,Dewas,PMGSY-III,2019-Present,19,29,19,20,0,9,235.752,184.83371,232.068,120.397,0
Madhya Pradesh,Gwalior,PMGSY-I,2000-2013,183,5,183,5,0,0,641.945,208.9239,615.651,179.8316,0
Madhya Pradesh,Jhabua,PMGSY-I,2000-2013,402,17,402,17,0,0,1606.875,496.37632,1562.114,470.2808,0
Madhya Pradesh,Jhabua,PMGSY-II,2013-2018,7,7,7,7,0,0,89.85,52.26852,89.38,46.7523,0
Madhya Pradesh,Khandwa,PMGSY-III,2019-Present,27,33,13,22,14,11,272.342,229.7278,224.496,116.8784,46.412
Madhya Pradesh,Maihar,PMGSY-II,2013-2018,3,0,3,0,0,0,27.725,18.1241,26.529,17.6462,0
Madhya Pradesh,Mandla,PM-JANMAN,2023-Present,63,0,11,0,52,0,133.445,87.37034,31.558,0,101.175
Madhya Pradesh,Mauganj,PMGSY-II,2013-2018,1,0,1,0,0,0,11.03,6.0382,11,5.0817,0
Madhya Pradesh,Morena,PMGSY-I,2000-2013,480,0,480,0,0,0,1710.924,422.0238,1531.952,346.5039,0
Madhya Pradesh,Niwari,PMGSY-I,2000-2013,120,3,120,3,0,0,444.855,129.7898,448.172,113.8069,0
Madhya Pradesh,Pandhurna,PMGSY-II,2013-2018,1,2,1,2,0,0,32,23.3588,31.41,21.3156,0
Madhya Pradesh,Raisen,PMGSY-III,2019-Present,30,17,29,12,1,5,276.24,242.95341,267.536,166.7831,0.65
Madhya Pradesh,Satna,PMGSY-III,2019-Present,21,13,20,12,1,1,238.092,158.70918,229.497,119.2152,4.9
Madhya Pradesh,Sehore,PMGSY-I,2000-2013,361,11,361,11,0,0,1568.35,497.53073,1503.002,510.6599,0
Madhya Pradesh,Sehore,PMGSY-III,2019-Present,20,10,20,6,0,4,219.53,184.85495,217.098,142.4011,0
Madhya Pradesh,Seoni,PMGSY-I,2000-2013,803,13,803,13,0,0,2999.1,866.4368,2891.903,836.075,0
Madhya Pradesh,Singrauli,PMGSY-III,2019-Present,11,0,11,0,0,0,150.8,99.8944,150.164,75.8621,0
Madhya Pradesh,Tikamgarh,PMGSY-III,2019-Present,15,2,15,1,0,1,147.44,103.93048,146.942,64.7314,0
Madhya Pradesh,Umaria,PMGSY-I,2000-2013,278,12,278,12,0,0,1304.785,394.06145,1248.706,408.0965,0
Madhya Pradesh,Umaria,PMGSY-II,2013-2018,4,1,4,1,0,0,49.38,26.49041,49.375,26.0982,0
Maharashtra,Akola,PMGSY-I,2000-2013,125,15,125,15,0,0,622.99,165.1223,607.89,162.5296,0
Maharashtra,Chandrapur,RCPLWEA,2016-Present,20,44,20,44,0,0,131.96,194.261,130.31,160.5315,0
Maharashtra,Gadchiroli,PM-JANMAN,2023-Present,10,0,0,0,10,0,31.39,29.56657,0,0,31.39
Maharashtra,Gondia,PMGSY-I,2000-2013,241,13,240,13,1,0,853.052,183.9845,819.547,172.6935,0.8
Maharashtra,Gondia,PMGSY-III,2019-Present,31,2,31,0,0,2,186.55,148.23996,184.344,62.9117,0
Maharashtra,Hingoli,PMGSY-III,2019-Present,16,3,16,0,0,3,111.18,86.05522,108.8,93.645,0
Maharashtra,Jalgaon,PMGSY-II,2013-2018,18,3,18,3,0,0,115.52,56.6378,114.911,55.8172,0
Maharashtra,Kolhapur,PMGSY-II,2013-2018,12,0,12,0,0,0,70.77,34.5714,69.68,34.0056,0
Maharashtra,Latur,PMGSY-III,2019-Present,24,9,14,0,10,9,169.973,171.9307,136.651,125.6649,33.422
Maharashtra,Nanded,PMGSY-I,2000-2013,119,20,119,20,0,0,644.39,160.0989,612.78,166.7206,0
Maharashtra,Nanded,PMGSY-II,2013-2018,15,5,15,5,0,0,107.23,64.4296,107.03,53.6438,0
Maharashtra,Nandurbar,PMGSY-I,2000-2013,194,28,191,28,3,0,1192.22,579.4886,1161.49,739.4476,13.37
Maharashtra,Palghar,PMGSY-II,2013-2018,6,1,6,1,0,0,56.9,30.8962,51.91,28.4738,0
Maharashtra,Pune,PMGSY-I,2000-2013,259,16,258,16,1,0,1444.48,397.1502,1423.542,421.8152,3.12
Maharashtra,Sangali,PMGSY-I,2000-2013,207,8,207,8,0,0,692.662,151.3623,676.734,153.4437,0
Maharashtra,Sangali,PMGSY-III,2019-Present,29,0,14,0,15,0,180.753,144.66676,108.924,102.5038,71.322
Maharashtra,Satara,PMGSY-I,2000-2013,137,2,137,2,0,0,823.735,193.4119,801.885,180.4212,0
Maharashtra,Satara,PMGSY-III,2019-Present,56,0,15,0,41,0,304.79,232.9597,177.652,136.0719,125.575
Maharashtra,Sindhudurg,PMGSY-III,2019-Present,39,0,0,0,39,0,168.688,141.41354,24.35,35.3003,144.338
Maharashtra,Solapur,PMGSY-I,2000-2013,288,16,288,16,0,0,1243.14,288.6699,1236.577,315.087,0
Maharashtra,Solapur,PMGSY-III,2019-Present,46,2,35,0,11,2,309.95,245.77878,263.86,225.6528,42.75
Maharashtra,Thane,PM-JANMAN,2023-Present,1,0,0,0,1,0,1.25,1.94269,0,0,1.25
Maharashtra,Wardha,PMGSY-I,2000-2013,137,9,137,9,0,0,976.956,240.7053,959.839,-31.8426,0
Maharashtra,Yavatmal,PMGSY-III,2019-Present,30,26,28,0,2,26,240.7,229.27766,234.854,194.9254,3.35
Manipur,Imphal West,PMGSY-I,2000-2013,206,11,206,9,0,2,396.56,160.95803,386.22,122.9102,0
Manipur,Imphal West,PMGSY-III,2019-Present,19,0,0,0,19,0,120.74,93.2818,0,0.3136,120.74
Manipur,Senapati,PMGSY-I,2000-2013,276,33,264,30,12,3,2028.13,881.77681,1970.52,821.6295,33.21
Manipur,Tamenglong,PMGSY-I,2000-2013,175,24,139,16,36,8,1697.24,796.65261,1610.025,666.0035,88.18
Meghalaya,East Garo Hills,PMGSY-II,2013-2018,12,0,12,0,0,0,49.9,37.62681,48.905,38.7953,0
Meghalaya,East Garo Hills,PMGSY-III,2019-Present,15,8,0,0,15,8,93.738,114.14796,7.5,5.8518,86.238
Meghalaya,South Garo Hills,PMGSY-I,2000-2013,34,18,31,18,3,0,129.993,183.4722,124.586,180.3663,5.638
Mizoram,Aizawl,PMGSY-III,2019-Present,3,1,0,0,3,1,63.954,68.27208,64.15,2.5389,-0.196
Mizoram,Champhai,PMGSY-III,2019-Present,4,0,0,0,4,0,94.64,103.35239,16.87,4.914,77.77
Mizoram,Lunglei,PMGSY-III,2019-Present,3,5,0,0,3,5,131.5,220.3596,65,11.3696,66.5
Mizoram,Serchhip,PMGSY-II,2013-2018,1,0,1,0,0,0,16,14.2014,15.5,11.0998,0
Nagaland,Kiphire,PMGSY-I,2000-2013,38,10,37,10,1,0,667.74,243.3672,655.74,241.5537,12
Nagaland,Kohima,PMGSY-III,2019-Present,3,0,0,0,3,0,57.39,45.121,0,0,57.39
Nagaland,Longleng,PMGSY-III,2019-Present,1,0,0,0,1,0,13.7,10.9094,0,0,13.7
Nagaland,Mokokchung,PMGSY-III,2019-Present,3,0,0,0,3,0,36.07,30.593,0,0,36.07
Nagaland,Peren,PMGSY-I,2000-2013,29,5,25,5,4,0,375.64,120.3107,362.14,111.6044,13.5
Nagaland,Tuensang,PMGSY-I,2000-2013,45,10,44,10,1,0,584.98,176.1181,582.48,170.1337,2.5
Nagaland,Tuensang,PMGSY-III,2019-Present,5,0,0,0,5,0,59.66,58.4939,0,3.596,59.66
Nagaland,Wokha,PMGSY-III,2019-Present,4,0,0,0,4,0,63.85,69.5409,0,0,63.85
Nagaland,Zunheboto,PMGSY-III,2019-Present,8,0,0,0,8,0,103.31,110.9257,0,0,103.31
Odisha,Balangir,PMGSY-II,2013-2018,20,4,20,4,0,0,168.095,63.79086,164.485,53.508,0
Odisha,Balangir,PMGSY-III,2019-Present,56,22,45,14,11,8,391.311,267.13396,355.345,236.475,24.092
Odisha,Balasore,PMGSY-II,2013-2018,28,0,28,0,0,0,140.4,68.72102,140.861,63.7939,0
Odisha,Balasore,PMGSY-III,2019-Present,51,3,33,1,18,2,372.201,265.25514,298.2,205.2918,74.71
Odisha,Bargarh,PMGSY-II,2013-2018,23,0,23,0,0,0,143.675,56.40737,140.469,48.4113,0
Odisha,Boudh,PMGSY-II,2013-2018,6,0,6,0,0,0,35.901,14.6532,35.71,13.4258,0
Odisha,Boudh,PMGSY-III,2019-Present,11,2,11,2,0,0,82.54,57.07282,81.076,55.8775,0
Odisha,Cuttack,PMGSY-I,2000-2013,476,11,476,11,0,0,1943.923,893.19247,1899.696,901.7172,0
Odisha,Deogarh,PM-JANMAN,2023-Present,4,0,1,0,3,0,24.67,22.0606,2.198,0,22.67
Odisha,Ganjam,PMGSY-III,2019-Present,110,16,71,5,39,11,631.133,441.95485,497.88,322.0943,125.703
Odisha,Jagatsinghpur,PMGSY-II,2013-2018,10,0,10,0,0,0,71.56,35.974,71.53,28.2318,0
Odisha,Jajpur,PMGSY-I,2000-2013,448,18,448,18,0,0,1564.9,729.37584,1499.873,715.1697,0
Odisha,Jajpur,PMGSY-II,2013-2018,34,0,34,0,0,0,112.007,49.8446,109.56,43.5532,0
Odisha,Jajpur,PMGSY-III,2019-Present,45,0,28,0,17,0,295.967,197.96155,266.076,172.9248,24.655
Odisha,Jharsuguda,PMGSY-I,2000-2013,136,3,136,3,0,0,399.273,127.4554,392.113,119.349,0
Odisha,Kalahandi,PMGSY-I,2000-2013,747,58,747,58,0,0,3325.484,1409.96473,3150.211,1413.0032,0
Odisha,Kalahandi,PMGSY-III,2019-Present,44,13,32,5,12,8,367.59,255.952,325.478,205.1835,37.747
Odisha,Khurda,PMGSY-I,2000-2013,336,6,336,6,0,0,1104.998,485.3769,1070.264,464.5063,0
Odisha,Koraput,RCPLWEA,2016-Present,19,2,18,0,1,2,146.768,140.64949,140.469,123.5026,5.087
Odisha,Malkangiri,PMGSY-II,2013-2018,12,0,12,0,0,0,83.4,36.9716,83.045,30.555,0
Odisha,Malkangiri,PMGSY-III,2019-Present,37,4,27,1,10,3,247.285,156.37492,224.563,118.0588,21.035
Odisha,Malkangiri,PM-JANMAN,2023-Present,1,0,0,0,1,0,9.5,8.6044,0,0,9.5
Odisha,Mayurbhanj,PMGSY-I,2000-2013,1263,32,1263,32,0,0,4546.134,1828.07024,4349.94,1866.873,0
Odisha,Mayurbhanj,PMGSY-III,2019-Present,117,14,109,14,8,0,780.786,515.18333,768.511,467.228,0.675
Odisha,Nayagarh,PMGSY-I,2000-2013,351,11,350,11,1,0,1251.285,627.21815,1202.438,603.8598,2.9
Odisha,Rayagada,RCPLWEA,2016-Present,1,0,1,0,0,0,1.8,1.29913,1.8,1.3596,0
Odisha,Sundargarh,PMGSY-II,2013-2018,22,4,22,4,0,0,173.05,90.8182,172.623,79.3507,0
Odisha,Sundargarh,PMGSY-III,2019-Present,72,7,69,6,3,1,495.054,308.58704,472.264,265.1273,9.728
Puducherry,Karaikal,PMGSY-III,2019-Present,8,0,0,0,8,0,17.025,9.93598,0,0,17.025
Punjab,Amritsar,PMGSY-I,2000-2013,73,0,73,0,0,0,396.395,172.0362,395.96,158.7712,0
Punjab,Barnala,PMGSY-I,2000-2013,19,0,19,0,0,0,191.51,89.8188,191.51,85.5467,0
Punjab,Barnala,PMGSY-II,2013-2018,3,1,3,1,0,0,40.45,28.6027,40.45,22.5468,0
Punjab,Barnala,PMGSY-III,2019-Present,9,1,8,0,1,1,115.59,101.43958,99.104,71.8201,16.17
Punjab,Bathinda,PMGSY-II,2013-2018,6,2,6,2,0,0,78.7,49.7356,77.75,37.1869,0
Punjab,Fatehgarh Sahib,PMGSY-III,2019-Present,3,1,3,0,0,1,31.239,25.09418,31.239,19.0243,0
Punjab,Fazilka,PMGSY-III,2019-Present,13,2,9,1,4,1,138.86,120.0087,101.07,76.4758,34.86
Punjab,Hoshiarpur,PMGSY-I,2000-2013,50,0,50,0,0,0,517.305,192.6273,516.616,170.6915,0
Punjab,Kapurthala,PMGSY-I,2000-2013,43,0,43,0,0,0,246.385,85.3898,246.385,66.1599,0
Punjab,Mansa,PMGSY-III,2019-Present,6,1,6,0,0,1,47.35,38.4315,47.35,33.4994,0
Punjab,Mohali,PMGSY-III,2019-Present,4,0,3,0,1,0,31.94,25.61566,24.104,16.288,7.8
Punjab,Pathankot,PMGSY-III,2019-Present,6,1,2,0,4,1,51.55,58.01704,29.15,30.6731,22.4
Punjab,Tarn Taran,PMGSY-III,2019-Present,26,10,13,0,13,10,221.76,206.03385,109.786,78.6788,110.65
Rajasthan,Ajmer,PMGSY-I,2000-2013,219,0,219,0,0,0,846.855,136.9286,803.86,117.0762,0
Rajasthan,Ajmer,PMGSY-II,2013-2018,8,0,8,0,0,0,84.564,30.2538,84.564,23.3698,0
Rajasthan,Balotra,PMGSY-I,2000-2013,570,0,570,0,0,0,2733.445,468.9141,2680.217,410.6322,0
Rajasthan,Banswara,PMGSY-I,2000-2013,1013,0,1013,0,0,0,2676.71,657.9331,2650.945,560.3327,0
Rajasthan,Baran,PM-JANMAN,2023-Present,38,0,3,0,35,0,98.687,68.8659,2.92,0,95.767
Rajasthan,Barmer,PMGSY-II,2013-2018,6,0,6,0,0,0,60.4,15.6465,60.4,10.9194,0
Rajasthan,Barmer,PMGSY-III,2019-Present,25,3,25,3,0,0,286.905,165.84077,285.005,123.8337,0
Rajasthan,Bharatpur,PMGSY-I,2000-2013,224,0,224,0,0,0,633.95,122.406,620.03,113.8762,0
Rajasthan,Bhilwara,PMGSY-I,2000-2013,604,0,604,0,0,0,2288.49,429.6578,2189.428,386.6147,0
Rajasthan,Bikaner,PMGSY-I,2000-2013,497,0,497,0,0,0,3068.25,519.5605,2935.64,446.0113,0
Rajasthan,Bundi,PMGSY-I,2000-2013,282,1,282,1,0,0,1006.3,256.4899,989.736,241.6649,0
Rajasthan,Dausa,PMGSY-II,2013-2018,8,0,8,0,0,0,62.8,24.4409,62.8,17.53,0
Rajasthan,Deeg,PMGSY-III,2019-Present,13,0,13,0,0,0,100.57,74.12449,99.87,64.6454,0
Rajasthan,Dungarpur,PMGSY-II,2013-2018,9,0,9,0,0,0,73,47.6744,73,29.4152,0
Rajasthan,Jaisalmer,PMGSY-II,2013-2018,4,0,4,0,0,0,42.4,10.556,44.3,7.3494,0
Rajasthan,Jaisalmer,PMGSY-III,2019-Present,20,0,19,0,1,0,196.9,96.43175,193.33,73.6743,3
Rajasthan,Jalor,PMGSY-II,2013-2018,11,0,11,0,0,0,112.1,37.3423,112.1,28.6429,0
Rajasthan,Jalor,PMGSY-III,2019-Present,17,0,17,0,0,0,139.78,71.5328,135.89,48.4593,0
Rajasthan,Jhalawar,PMGSY-I,2000-2013,381,0,381,0,0,0,1489.68,338.9605,1438.64,304.427,0
Rajasthan,Jhunjhunun,PMGSY-III,2019-Present,29,0,29,0,0,0,213.025,128.0034,213.025,89.167,0
Rajasthan,Karauli,PMGSY-II,2013-2018,11,1,11,1,0,0,69.75,23.787,69.75,17.2135,0
Rajasthan,Khairthal Tijara,PMGSY-II,2013-2018,8,0,8,0,0,0,59.826,19.0538,59.826,16.5637,0
Rajasthan,Kotputli Behror,PMGSY-II,2013-2018,8,0,8,0,0,0,69.61,32.9576,69.74,27.586,0
Rajasthan,Kotputli Behror,PMGSY-III,2019-Present,17,0,15,0,2,0,130.193,80.36925,128.95,59.0127,0.393
Rajasthan,Pali,PMGSY-II,2013-2018,11,1,11,1,0,0,118.5,63.8277,118.5,50.2365,0
Rajasthan,Pali,PMGSY-III,2019-Present,32,9,32,5,0,4,324.44,226.93041,322.45,170.681,0
Rajasthan,Sirohi,PMGSY-I,2000-2013,203,2,203,2,0,0,817.661,238.6425,800.411,204.7766,0
Rajasthan,Tonk,PMGSY-III,2019-Present,32,0,32,0,0,0,239.343,139.19612,241.1,106.3139,0
Sikkim,East,PMGSY-I,2000-2013,175,21,168,19,7,2,705.099,355.3692,673.593,340.5543,14.767
Sikkim,East,PMGSY-II,2013-2018,3,0,3,0,0,0,7.8,6.7633,6.92,5.7281,0
Sikkim,East,PMGSY-III,2019-Present,3,3,0,0,3,3,21.05,38.2148,10,7.6189,11.05
Sikkim,Pakyong,PMGSY-III,2019-Present,5,3,1,0,4,3,24.41,28.89882,10.1,6.4835,14.25
Sikkim,West Sikkim,PMGSY-II,2013-2018,9,0,8,0,1,0,27.18,23.2758,26.48,20.4605,0.7
Tamil Nadu,Coimbatore,PMGSY-II,2013-2018,56,2,56,2,0,0,183.305,79.52724,183.03,80.3042,0
Tamil Nadu,Cuddalore,PMGSY-I,2000-2013,244,1,244,1,0,0,482.917,116.79269,468.895,199.877,0
Tamil Nadu,Cuddalore,PMGSY-III,2019-Present,39,1,35,1,4,0,153.664,93.27979,151.177,89.8779,1.423
Tamil Nadu,Dharmapuri,PMGSY-II,2013-2018,25,1,25,1,0,0,89.24,31.42687,89.18,31.9251,0
Tamil Nadu,Dindigul,PMGSY-I,2000-2013,274,0,274,0,0,0,604.428,151.42387,594.451,131.858,0
Tamil Nadu,Dindigul,PMGSY-III,2019-Present,60,2,53,2,7,0,243.94,142.40797,236.29,137.3851,3.995
Tamil Nadu,Erode,PMGSY-I,2000-2013,230,1,230,1,0,0,513.66,134.35828,506.001,126.0865,0
Tamil Nadu,Erode,PMGSY-III,2019-Present,43,0,40,0,3,0,167.667,85.5131,158.582,85.489,8.592
Tamil Nadu,Kanchipuram,PMGSY-III,2019-Present,12,0,6,0,6,0,37.838,21.92361,26.321,13.0514,11.517
Tamil Nadu,Krishnagiri,PMGSY-II,2013-2018,40,2,40,2,0,0,118.23,56.26929,118.23,59.1974,0
Tamil Nadu,Mayiladuthurai,PMGSY-I,2000-2013,255,6,255,6,0,0,471.007,243.27293,468.107,230.6614,0
Tamil Nadu,Nagapattinam,PMGSY-II,2013-2018,21,1,21,1,0,0,74.171,66.87174,74.171,72.8485,0
Tamil Nadu,Nagapattinam,PMGSY-III,2019-Present,38,5,33,4,5,1,156.203,153.38103,130.158,170.0214,26.048
Tamil Nadu,Perambalur,PMGSY-II,2013-2018,12,0,12,0,0,0,43.84,15.9089,43.84,15.3482,0
Tamil Nadu,Perambalur,PMGSY-III,2019-Present,24,2,22,2,2,0,83.92,53.11626,83.92,49.3385,0.005
Tamil Nadu,Ramanathapuram,PMGSY-II,2013-2018,63,0,63,0,0,0,230.991,121.27181,230.991,129.9861,0
Tamil Nadu,Ranipet,PMGSY-II,2013-2018,7,0,7,0,0,0,19.552,7.5257,19.552,7.7246,0
Tamil Nadu,Sivagangai,PMGSY-I,2000-2013,209,0,209,0,0,0,433.688,107.15013,431.905,273.4849,0
Tamil Nadu,The Nilgiris,PMGSY-III,2019-Present,17,0,2,0,15,0,68.005,70.5887,35.967,34.3709,32.038
Tamil Nadu,Theni,PMGSY-III,2019-Present,6,1,6,1,0,0,19.2,14.12334,18.962,11.4906,0
Tamil Nadu,Tiruchirappalli,PMGSY-I,2000-2013,268,1,268,1,0,0,552.955,140.1259,545.514,123.8914,0
Tamil Nadu,Tiruchirappalli,PMGSY-III,2019-Present,83,1,73,1,10,0,323.195,177.88772,299.663,143.8035,22.999
Tamil Nadu,Tirunelveli,PMGSY-III,2019-Present,46,0,36,0,10,0,192.225,102.1219,174.745,86.8354,17.475
Tamil Nadu,Tiruppur,PMGSY-I,2000-2013,285,2,285,2,0,0,627.378,136.4948,623.583,27.9211,0
Tamil Nadu,Tiruvarur,PMGSY-I,2000-2013,294,28,294,28,0,0,615.127,367.29118,604.058,337.5778,0
Tamil Nadu,Tuticorin,PMGSY-I,2000-2013,226,6,226,6,0,0,487.771,117.82051,485.401,91.7046,0
Tamil Nadu,Villupuram,PMGSY-II,2013-2018,46,0,46,0,0,0,143.063,56.50137,142.868,59.5999,0
Telangana,Adilabad,PMGSY-I,2000-2013,186,28,180,28,6,0,654.472,193.42658,578.392,48.196,30.75
Telangana,Jagitial,PMGSY-III,2019-Present,12,5,4,0,8,5,65.539,56.98604,33.877,24.317,30.619
Telangana,Jangoan,PMGSY-III,2019-Present,13,0,9,0,4,0,137.128,98.54163,110.917,100.6272,23.714
Telangana,Jayashankar Bhoopalapally,PMGSY-III,2019-Present,3,0,0,0,3,0,26.067,19.118,2.6,12.2217,23.467
Telangana,Karimnagar,PMGSY-I,2000-2013,65,7,65,7,0,0,170.461,30.67287,170.612,49.1757,0
Telangana,Komrambheem Asifabad,PM-JANMAN,2023-Present,8,0,0,0,8,0,19.85,19.73805,0,0,19.85
Telangana,Mahabubabad,PMGSY-III,2019-Present,15,12,3,0,12,12,103.632,96.02237,37.184,70.7336,66.275
Telangana,Nagarkurnool,PMGSY-III,2019-Present,11,4,9,1,2,3,70.486,51.73822,65.379,36.2104,3.125
Telangana,Narayanpet,PMGSY-I,2000-2013,26,1,26,1,0,0,122.97,22.2787,117.61,44.413,0
Telangana,Nirmal,PMGSY-III,2019-Present,8,3,2,0,6,3,65.29,43.44925,59.93,34.7035,5.26
Telangana,Peddapalli,PMGSY-III,2019-Present,9,2,6,0,3,2,48.181,31.19386,41.383,30.0879,5.527
Telangana,Rajanna Sircilla,PMGSY-II,2013-2018,2,0,2,0,0,0,23.18,14.2471,21.224,12.9352,0
Telangana,Rajanna Sircilla,PMGSY-III,2019-Present,12,4,1,2,11,2,80.699,58.18098,31.413,25.879,49.532
Telangana,Ranga Reddy,PMGSY-III,2019-Present,19,4,18,2,1,2,118.317,88.03751,114.706,81.9174,0.5
Telangana,Siddipet,PMGSY-III,2019-Present,13,6,3,0,10,6,112.806,92.27847,34.228,69.4431,77.268
Tripura,Gomati,PMGSY-II,2013-2018,7,0,7,0,0,0,54.642,53.23826,53.899,56.8513,0
Tripura,Gomati,PMGSY-III,2019-Present,20,1,1,0,19,1,148.475,144.96541,10.103,8.867,138.372
Tripura,Khowai,PMGSY-I,2000-2013,139,5,139,5,0,0,423.274,251.40723,414.635,245.9693,0
Uttar Pradesh,Aligarh,PMGSY-I,2000-2013,205,0,205,0,0,0,690.625,184.3754,682.44,175.3916,0
Uttar Pradesh,Aligarh,PMGSY-III,2019-Present,38,0,38,0,0,0,335.29,229.302,334.62,172.1462,0
Uttar Pradesh,Amethi,PMGSY-III,2019-Present,43,0,40,0,3,0,301.508,247.0922,291.955,216.1367,7.122
Uttar Pradesh,Badaun,PMGSY-I,2000-2013,250,0,250,0,0,0,596.54,119.03666,587.249,114.3385,0
Uttar Pradesh,Baghpat,PMGSY-III,2019-Present,12,0,12,0,0,0,72.715,31.08809,72.635,29.486,0
Uttar Pradesh,Bahraich,PMGSY-I,2000-2013,260,0,260,0,0,0,938.632,325.7493,921.943,312.4871,0
Uttar Pradesh,Balrampur,PMGSY-I,2000-2013,195,0,195,0,0,0,607.479,189.1193,599.137,179.4222,0
Uttar Pradesh,Balrampur,PMGSY-II,2013-2018,16,0,16,0,0,0,109.975,74.6984,108.375,67.6892,0
